time,interval,encR,encL,wR,wL,wdotR,wdotL,wddotR,wddotL,pwmR,pwmL,x,y,theta,x_ref,y_ref,theta_ref,vel_v,vel_w,e_x,e_y,e_theta,u_R,u_L,tau_R,tau_L
1548676006.202079,0.030438899993896484,16,54,4.908738521234052,2.1475731030398975,1994.1750242513335,-38.349519697141034,97599.52762922391,-575.2427954571157,641.88020099314315,-51.639484053158661,-0.0087205582403548608,0.031171740655570469,-0.41704374808915223,0.037451270382534749,0.00052699981751079994,0.03745701313018799,0.0,0.0,0.058573663543353735,-0.0065532377174472509,0.46708191887087647,1.1959799767148962,0.12998728623597078,0.045009317272291134,0.0064673559114399662
1548676006.249319,0.046050071716308594,34,48,5.522330836388308,-1.8407769454627694,15.339807878856403,-99.70875121256667,-49470.880409311925,-1533.980787885641,641.88020099314315,-51.639484053158661,-0.0046969382604721503,0.031820540731328353,-0.38954066684803224,0.037451270382534749,0.00052699981751079994,0.03745701313018799,0.0,0.0,0.058573663543353735,-0.0065532377174472509,0.46708191887087647,1.1959799767148962,0.12998728623597078,0.045009317272291134,0.0064673559114399662
1548676006.282018,0.03220701217651367,52,47,5.522330836388308,-0.30679615757712825,0.0,38.34951969714103,-383.49519697141005,3451.456772742692,801.36749064597893,141.05480959512587,-0.0021979244087904416,0.032367807126579273,-0.36440771731220467,0.045809413456387935,0.00084021739039952302,0.045821022987365727,0.0,0.0,0.057844574844924106,-0.010269987571152762,0.42906919676279442,1.2129346891379245,0.12361990204334487,0.044444501142229469,0.0077616904907012729
1548676006.329135,0.045829057693481445,71,47,5.829126993965436,0.0,7.669903939428191,7.669903939428206,191.74759848570477,-766.9903939428204,801.36749064597893,141.05480959512587,0.00079739449569063696,0.033429257413758906,-0.32285066840918009,0.045809413456387935,0.00084021739039952302,0.045821022987365727,0.0,0.0,0.057844574844924106,-0.010269987571152762,0.42906919676279442,1.2129346891379245,0.12361990204334487,0.044444501142229469,0.0077616904907012729
1548676006.364356,0.03063201904296875,91,47,6.135923151542564,0.0,7.669903939428213,0.0,5.551115123125783e-13,-191.74759848570514,801.36749064597893,141.05480959512587,0.002101341841877213,0.03402036341387011,-0.29730965899421052,0.054529732694609118,0.0012400712177018079,0.054550504684448248,0.0,0.0,0.059731209220382359,-0.015983315330178029,0.3518601636786588,1.2129346891379245,0.12361990204334487,0.044444501142229469,0.0077616904907012729
1548676006.408439,0.04593205451965332,111,47,6.135923151542564,0.0,0.0,0.0,-191.7475984857053,0.0,781.97064069277076,191.69333417166331,0.0049671822141508894,0.035256147456170776,-0.25464757088179762,0.054529732694609118,0.0012400712177018079,0.054550504684448248,0.0,0.0,0.059731209220382359,-0.015983315330178029,0.3518601636786588,1.2550331576248581,0.11029486029171884,0.043404293409813693,0.010612132368055201
1548676006.443112,0.03160595893859863,130,47,5.829126993965436,0.0,-7.669903939428213,0.0,-191.7475984857053,0.0,781.97064069277076,191.69333417166331,0.0071239357920035865,0.036305555299806461,-0.22428026200852849,0.054529732694609118,0.0012400712177018079,0.054550504684448248,0.0,0.0,0.059731209220382359,-0.015983315330178029,0.3518601636786588,1.2550331576248581,0.11029486029171884,0.043404293409813693,0.010612132368055201
1548676006.489436,0.04630279541015625,150,47,6.135923151542564,0.0,7.669903939428213,0.0,383.4951969714106,0.0,755.90920559333438,242.72301780828749,0.009630064709249311,0.037805413540584538,-0.18602280565191864,0.063089559329901124,0.0017074778022304297,0.063123083114624029,0.0,0.0,0.061139313173982239,-0.022867410327211294,0.27252417159885867,1.2907811874857618,0.095626785481976506,0.04203148165327901,0.013522109408608733
1548676006.521887,0.0303652286529541,169,47,5.829126993965436,0.0,-7.669903939428213,0.0,-383.4951969714106,0.0,755.90920559333438,242.72301780828749,0.011932623031947687,0.038958970092743531,-0.1529309458427239,0.063089559329901124,0.0017074778022304297,0.063123083114624029,0.0,0.0,0.061139313173982239,-0.022867410327211294,0.27252417159885867,1.2907811874857618,0.095626785481976506,0.04203148165327901,0.013522109408608733
1548676006.571702,0.04643392562866211,188,47,5.829126993965436,0.0,0.0,0.0,191.7475984857053,0.0,726.21868861570704,293.79224339772014,0.014453399391600672,0.040516607247060417,-0.11472480756492068,0.071903376338713326,0.0022645732224117411,0.071954488754272461,0.0,0.0,0.062030160466455264,-0.030696244919685096,0.19424692142230027,1.3184022580436496,0.080260500649655342,0.040382008487855267,0.016359288608021657
