time,interval,wR,wL,wdotR,wdotL,pwmR,pwmL,theta,vel_v,vel_w,tau_R,tau_L,x,y,centroidX,centroidY,a_hat0,a_hat1,a_hat2,a_hat3,a_hat4
14.942203998565674,14.767266035079956,0,0,0,0,721.31764018148897,1565.8970671083466,-0.30913786223205547,0.0,0.0,0.040073202232304941,0.086994281506019261,0.22198411775636764,-0.47275942026581236,0.76834692587849751,-0.99627723355651321,2.0,2.0,0.01,0.01,0.01
14.955132007598877,0.18359994888305664,0,0,0,0,721.31764018148897,1565.8970671083466,-0.30913786223205547,0.0,0.0,0.040073202232304941,0.086994281506019261,0.22198411775636764,-0.47275942026581236,0.76834692587849751,-0.99627723355651321,2.0,2.0,0.01,0.01,0.01
15.07849907875061,0.1003260612487793,0,0,0,0,721.09316547558171,1565.9038623046736,-0.30899654449659808,0.0,0.0,0.040060731415310094,0.08699465901692631,0.2219991366222025,-0.47277066101970316,0.76834692587849751,-0.99627723355651321,2.0,2.0,0.01,0.01,0.01
15.154321193695068,0.09962987899780273,0,0,0,0,664.00758331227587,1532.7938157762294,-0.31265053399943288,0.0,0.0,0.036889310184015325,0.085155211987568299,0.25229853229533772,-0.47015638930193338,0.76834692587849751,-0.99627723355651321,2.0,2.0,0.01,0.01,0.01
15.25623607635498,0.10006999969482422,0,0,0,0,625.88062873026968,1508.9756021616031,-0.31667904757984799,0.0,0.0,0.034771146040570536,0.083831977897866838,0.27365554234950273,-0.46853053953272611,0.76834692587849751,-0.99627723355651321,2.0,2.0,0.01,0.01,0.01
15.355515003204346,0.10001802444458008,0,0,0,0,581.49345072121253,1483.857662293349,-0.31830607404686528,0.0,0.0,0.032305191706734029,0.082436536794074949,0.29648572358812592,-0.46707815801091701,0.76834692587849751,-0.99627723355651321,2.0,2.0,0.01,0.01,0.01
15.456048011779785,0.09971404075622559,0,0,0,0,540.38231997855326,1458.4703505653747,-0.32204433849815511,0.0,0.0,0.030021239998808513,0.081026130586965256,0.31915621584247378,-0.46577646906632192,0.76834692587849751,-0.99627723355651321,2.0,2.0,0.01,0.01,0.01
15.558787107467651,0.09990406036376953,0,0,0,0,499.19935381250633,1433.2999695555129,-0.32610156059881901,0.0,0.0,0.02773329743402813,0.079627776086417384,0.34199425045233162,-0.46438068985780712,0.76834692587849751,-0.99627723355651321,2.0,2.0,0.01,0.01,0.01
15.65826416015625,0.09987092018127441,0,0,0,0,457.52355939320648,1408.9564284987875,-0.3296378632406593,0.0,0.0,0.025417975521844806,0.078275357138821527,0.36463034383270776,-0.46285416843442406,0.76834692587849751,-0.99627723355651321,2.0,2.0,0.01,0.01,0.01
15.756640195846558,0.10109901428222656,0,0,0,0,415.24272747316627,1383.9332697101772,-0.33270178333466083,0.0,0.0,0.023069040415175903,0.076885181650565404,0.38737057926370555,-0.46181330990923003,0.76834692587849751,-0.99627723355651321,2.0,2.0,0.01,0.01,0.01
15.853838205337524,0.10109901428222656,0,0,0,0,0,0,-0.33546477135486613,0.0,0.0,0.023069040415175903,0.076885181650565404,0.41013541940659426,-0.46080748543027023,0.76834692587849751,-0.99627723355651321,2.0,2.0,0.01,0.01,0.01
15.952689170837402,0.10109901428222656,0,0,0,0,0,0,-0.34040611589168646,0.0,0.0,0.023069040415175903,0.076885181650565404,0.43074835940358996,-0.45982475401635087,0.76834692587849751,-0.99627723355651321,2.0,2.0,0.01,0.01,0.01
